date,participant,index_fut_long,index_fut_short,index_fut_net
2026-06-29,PRO,66782.0,66046.0,736.0
2026-06-29,CLIENT,49018.0,48202.0,816.0
2026-06-29,FII,41431.0,38984.0,2447.0
2026-06-29,DII,6080.0,6843.0,-763.0
2026-06-30,CLIENT,45485.0,49122.0,-3637.0
2026-06-30,PRO,66820.0,61072.0,5748.0
2026-06-30,FII,35776.0,36602.0,-826.0
2026-06-30,DII,-2552.0,4889.0,-7441.0
2026-07-01,PRO,64904.0,67919.0,-3015.0
2026-07-01,FII,46501.0,33445.0,13056.0
2026-07-01,DII,11763.0,-2167.0,13930.0
2026-07-01,CLIENT,54870.0,42669.0,12201.0
2026-07-02,PRO,54490.0,55997.0,-1507.0
2026-07-02,FII,35726.0,34881.0,845.0
2026-07-02,DII,11191.0,56.0,11135.0
2026-07-02,CLIENT,47333.0,44046.0,3287.0
2026-07-03,CLIENT,43186.0,56182.0,-12996.0
2026-07-03,DII,-2651.0,634.0,-3285.0
2026-07-03,FII,42515.0,44473.0,-1958.0
2026-07-03,PRO,66068.0,61386.0,4682.0
2026-07-06,FII,45566.0,44922.0,644.0
2026-07-06,DII,2388.0,1949.0,439.0
2026-07-06,CLIENT,47389.0,42823.0,4566.0
2026-07-06,PRO,52499.0,54353.0,-1854.0
2026-07-07,DII,10619.0,6453.0,4166.0
2026-07-07,CLIENT,46787.0,54114.0,-7327.0
2026-07-07,FII,37860.0,35663.0,2197.0
2026-07-07,PRO,56748.0,57153.0,-405.0
2026-07-08,FII,47605.0,32793.0,14812.0
2026-07-08,PRO,58506.0,57913.0,593.0
2026-07-08,CLIENT,57440.0,50131.0,7309.0
2026-07-08,DII,12094.0,10905.0,1189.0
2026-07-09,PRO,62101.0,54788.0,7313.0
2026-07-09,FII,35428.0,38724.0,-3296.0
2026-07-09,DII,3604.0,4073.0,-469.0
2026-07-09,CLIENT,57405.0,53715.0,3690.0
2026-07-10,CLIENT,46352.0,57480.0,-11128.0
2026-07-10,DII,71.0,8752.0,-8681.0
2026-07-10,FII,36927.0,35463.0,1464.0
2026-07-10,PRO,61875.0,57230.0,4645.0
2026-07-13,FII,34444.0,39490.0,-5046.0
2026-07-13,DII,-604.0,2759.0,-3363.0
2026-07-13,CLIENT,42274.0,49803.0,-7529.0
2026-07-13,PRO,55209.0,52463.0,2746.0
2026-07-14,CLIENT,49463.0,50753.0,-1290.0
2026-07-14,DII,11468.0,8172.0,3296.0
2026-07-14,PRO,63507.0,60258.0,3249.0
2026-07-14,FII,46855.0,38754.0,8101.0
2026-07-15,DII,-123.0,9883.0,-10006.0
2026-07-15,CLIENT,44857.0,56201.0,-11344.0
2026-07-15,PRO,62856.0,55082.0,7774.0
2026-07-15,FII,33727.0,45689.0,-11962.0
2026-07-16,PRO,57053.0,52400.0,4653.0
2026-07-16,DII,3494.0,-1825.0,5319.0
2026-07-16,CLIENT,43163.0,56434.0,-13271.0
2026-07-16,FII,38503.0,32805.0,5698.0
2026-07-17,CLIENT,52582.0,50287.0,2295.0
2026-07-17,FII,35526.0,37493.0,-1967.0
2026-07-17,DII,4405.0,12470.0,-8065.0
2026-07-17,PRO,54112.0,65841.0,-11729.0
2026-07-20,PRO,60379.0,64985.0,-4606.0
2026-07-20,FII,47770.0,40192.0,7578.0
2026-07-20,DII,6850.0,9495.0,-2645.0
2026-07-20,CLIENT,47014.0,56081.0,-9067.0
2026-07-21,DII,1723.0,12689.0,-10966.0
2026-07-21,CLIENT,45261.0,55248.0,-9987.0
2026-07-21,PRO,67769.0,58956.0,8813.0
2026-07-21,FII,39894.0,32355.0,7539.0
2026-07-22,CLIENT,44561.0,45956.0,-1395.0
2026-07-22,PRO,67085.0,52130.0,14955.0
2026-07-22,FII,44845.0,47504.0,-2659.0
2026-07-22,DII,511.0,958.0,-447.0
2026-07-23,FII,39448.0,46844.0,-7396.0
2026-07-23,DII,2472.0,-2655.0,5127.0
2026-07-23,CLIENT,43725.0,57944.0,-14219.0
2026-07-23,PRO,59438.0,63806.0,-4368.0
2026-07-24,FII,42408.0,38325.0,4083.0
2026-07-24,DII,7726.0,10937.0,-3211.0
2026-07-24,CLIENT,53566.0,48730.0,4836.0
2026-07-24,PRO,62551.0,59465.0,3086.0
2026-07-27,PRO,62151.0,53970.0,8181.0
2026-07-27,DII,216.0,3426.0,-3210.0
2026-07-27,CLIENT,55052.0,55764.0,-712.0
2026-07-27,FII,32407.0,35320.0,-2913.0
2026-07-28,PRO,65317.0,66873.0,-1556.0
2026-07-28,DII,1168.0,-650.0,1818.0
2026-07-28,CLIENT,56027.0,48684.0,7343.0
2026-07-28,FII,38578.0,41421.0,-2843.0
2026-07-29,PRO,54212.0,67929.0,-13717.0
2026-07-29,FII,36900.0,34614.0,2286.0
2026-07-29,DII,3354.0,9609.0,-6255.0
2026-07-29,CLIENT,50112.0,44231.0,5881.0
2026-07-30,PRO,62908.0,66566.0,-3658.0
2026-07-30,FII,47871.0,46716.0,1155.0
2026-07-30,DII,11946.0,-2857.0,14803.0
2026-07-30,CLIENT,43614.0,57672.0,-14058.0
2026-07-31,PRO,60892.0,62572.0,-1680.0
2026-07-31,FII,41145.0,47117.0,-5972.0
2026-07-31,CLIENT,47929.0,52213.0,-4284.0
2026-07-31,DII,8918.0,-514.0,9432.0
2026-08-03,CLIENT,53572.0,46695.0,6877.0
2026-08-03,DII,720.0,5078.0,-4358.0
2026-08-03,PRO,52036.0,67198.0,-15162.0
2026-08-03,FII,41036.0,45543.0,-4507.0
2026-08-04,PRO,63961.0,63443.0,518.0
2026-08-04,FII,34118.0,34269.0,-151.0
2026-08-04,DII,9190.0,6788.0,2402.0
2026-08-04,CLIENT,44066.0,43103.0,963.0
2026-08-05,DII,-1393.0,4990.0,-6383.0
2026-08-05,PRO,67787.0,63349.0,4438.0
2026-08-05,FII,39379.0,36577.0,2802.0
2026-08-05,CLIENT,52964.0,54518.0,-1554.0
2026-08-06,FII,27655.0,172773.0,-145118.0
2026-08-06,CLIENT,183769.0,59902.0,123867.0
2026-08-06,DII,54252.0,19776.0,34476.0
2026-08-06,PRO,32797.0,46022.0,-13225.0
