date,time,symbol,underlying,pcr,maxpain,atm
2026-08-07,13:17,banknifty,57769.4,0.9,58000,58000
2026-08-07,13:20,banknifty,57756.8,0.9,58000,58000
2026-08-07,13:30,banknifty,57783.45,0.9,58000,58000
2026-08-07,13:40,banknifty,57721.85,0.89,58000,57500
2026-08-07,13:50,banknifty,57919.6,0.89,58000,58000
2026-08-07,14:00,banknifty,57897.4,0.9,58000,58000
2026-08-07,14:10,banknifty,57824.6,0.9,58000,58000
2026-08-07,14:20,banknifty,57855.3,0.89,58000,58000
2026-08-07,14:30,banknifty,57881.95,0.9,58000,58000
2026-08-07,14:42,banknifty,57826.7,0.9,58000,58000
2026-08-07,14:50,banknifty,57793.9,0.89,58000,58000
2026-08-07,15:00,banknifty,57774.25,0.88,58000,58000
2026-08-07,15:20,banknifty,57801.15,0.89,58000,58000
2026-08-07,15:30,banknifty,57746.45,0.89,58000,57500
2026-08-07,15:40,banknifty,57746.45,0.88,58000,57500
2026-08-07,15:50,banknifty,57746.45,0.88,58000,57500
2026-08-07,16:00,banknifty,57746.45,0.88,58000,57500
2026-08-07,16:10,banknifty,57746.45,0.88,58000,57500
2026-08-07,13:17,nifty,24556.65,0.74,24600,24550
2026-08-07,13:20,nifty,24548.45,0.74,24600,24550
2026-08-07,13:30,nifty,24567.05,0.75,24600,24550
2026-08-07,13:40,nifty,24546.85,0.74,24600,24550
2026-08-07,13:50,nifty,24569.25,0.74,24600,24550
2026-08-07,14:00,nifty,24571.5,0.75,24600,24550
2026-08-07,14:10,nifty,24538.15,0.72,24600,24550
2026-08-07,14:20,nifty,24536.35,0.68,24550,24550
2026-08-07,14:30,nifty,24534.1,0.69,24550,24550
2026-08-07,14:42,nifty,24537.4,0.69,24550,24550
2026-08-07,14:50,nifty,24555.15,0.7,24550,24550
2026-08-07,15:00,nifty,24545.8,0.71,24550,24550
2026-08-07,15:20,nifty,24557.0,0.75,24600,24550
2026-08-07,15:30,nifty,24570.65,0.74,24600,24550
2026-08-07,15:40,nifty,24570.65,0.74,24600,24550
2026-08-07,15:50,nifty,24570.65,0.73,24600,24550
2026-08-07,16:00,nifty,24570.65,0.73,24600,24550
2026-08-07,16:10,nifty,24570.65,0.73,24600,24550
