date,symbol,bb_bandwidth
2026-08-08 00:00:00,360ONE,0.114
2026-08-08 00:00:00,3MINDIA,0.0493
2026-08-08 00:00:00,AADHARHFC,0.0877
2026-08-08 00:00:00,AARTIDRUGS,0.0714
2026-08-08 00:00:00,AARTIIND,0.0736
2026-08-08 00:00:00,AARTIPHARM,0.1035
2026-08-08 00:00:00,AAVAS,0.1594
2026-08-08 00:00:00,ABB,0.1386
2026-08-08 00:00:00,ABBOTINDIA,0.0593
2026-08-08 00:00:00,ABCAPITAL,0.1031
2026-08-08 00:00:00,ABDL,0.0757
2026-08-08 00:00:00,ABFRL,0.1574
2026-08-08 00:00:00,ABLBL,0.0591
2026-08-08 00:00:00,ABREL,0.0689
2026-08-08 00:00:00,ABSLAMC,0.2012
2026-08-08 00:00:00,ACC,0.0522
2026-08-08 00:00:00,ACE,0.1963
2026-08-08 00:00:00,ACI,0.1528
2026-08-08 00:00:00,ACMESOLAR,0.1155
2026-08-08 00:00:00,ACUTAAS,0.216
2026-08-08 00:00:00,ADANIENSOL,0.086
2026-08-08 00:00:00,ADANIENT,0.0923
2026-08-08 00:00:00,ADANIGREEN,0.2297
2026-08-08 00:00:00,ADANIPORTS,0.1407
2026-08-08 00:00:00,ADANIPOWER,0.0917
2026-08-08 00:00:00,ADVENZYMES,0.09
2026-08-08 00:00:00,AEGISLOG,0.1562
2026-08-08 00:00:00,AEGISVOPAK,0.1312
2026-08-08 00:00:00,AETHER,0.1443
2026-08-08 00:00:00,AFCONS,0.1057
2026-08-08 00:00:00,AFFLE,0.2002
2026-08-08 00:00:00,AGARWALEYE,0.1522
2026-08-08 00:00:00,AHLUCONT,0.0829
2026-08-08 00:00:00,AIAENG,0.0682
2026-08-08 00:00:00,AIIL,0.1803
2026-08-08 00:00:00,AJANTPHARM,0.0667
2026-08-08 00:00:00,AKUMS,0.0807
2026-08-08 00:00:00,ALIVUS,0.2825
2026-08-08 00:00:00,ALKEM,0.0455
2026-08-08 00:00:00,ALKYLAMINE,0.107
2026-08-08 00:00:00,ALOKINDS,0.0872
2026-08-08 00:00:00,AMBER,0.1215
2026-08-08 00:00:00,AMBUJACEM,0.0523
2026-08-08 00:00:00,ANANDRATHI,0.0471
2026-08-08 00:00:00,ANANTRAJ,0.1267
2026-08-08 00:00:00,ANGELONE,0.2072
2026-08-08 00:00:00,ANTHEM,0.1412
2026-08-08 00:00:00,ANUP,0.1383
2026-08-08 00:00:00,ANURAS,0.0819
2026-08-08 00:00:00,APARINDS,0.2571
2026-08-08 00:00:00,APLAPOLLO,0.124
2026-08-08 00:00:00,APLLTD,0.0729
2026-08-08 00:00:00,APOLLO,0.0843
2026-08-08 00:00:00,APOLLOHOSP,0.03
2026-08-08 00:00:00,APOLLOTYRE,0.0812
2026-08-08 00:00:00,APTUS,0.2263
2026-08-08 00:00:00,ARE&M,0.0988
2026-08-08 00:00:00,ARVIND,0.1082
2026-08-08 00:00:00,ARVINDFASN,0.0919
2026-08-08 00:00:00,ASAHIINDIA,0.0828
2026-08-08 00:00:00,ASHAPURMIN,0.1014
2026-08-08 00:00:00,ASHOKA,0.1112
2026-08-08 00:00:00,ASHOKLEY,0.2347
2026-08-08 00:00:00,ASIANPAINT,0.0712
2026-08-08 00:00:00,ASKAUTOLTD,0.47
2026-08-08 00:00:00,ASTERDM,0.0954
2026-08-08 00:00:00,ASTRAL,0.1216
2026-08-08 00:00:00,ASTRAMICRO,0.1116
2026-08-08 00:00:00,ATGL,0.1604
2026-08-08 00:00:00,ATHERENERG,0.2935
2026-08-08 00:00:00,ATLANTAELE,0.1861
2026-08-08 00:00:00,ATUL,0.2018
2026-08-08 00:00:00,AUBANK,0.115
2026-08-08 00:00:00,AURIONPRO,0.2957
2026-08-08 00:00:00,AUROPHARMA,0.082
2026-08-08 00:00:00,AVALON,0.1523
2026-08-08 00:00:00,AVANTIFEED,0.1977
2026-08-08 00:00:00,AVL,0.0502
2026-08-08 00:00:00,AWFIS,0.1156
2026-08-08 00:00:00,AWL,0.0645
2026-08-08 00:00:00,AXISBANK,0.1152
2026-08-08 00:00:00,AXISCADES,0.0922
2026-08-08 00:00:00,AZAD,0.0998
2026-08-08 00:00:00,BAJAJ-AUTO,0.2061
2026-08-08 00:00:00,BAJAJELEC,0.1791
2026-08-08 00:00:00,BAJAJFINSV,0.1886
2026-08-08 00:00:00,BAJAJHFL,0.047
2026-08-08 00:00:00,BAJAJHLDNG,0.157
2026-08-08 00:00:00,BAJFINANCE,0.1865
2026-08-08 00:00:00,BALAMINES,0.2376
2026-08-08 00:00:00,BALKRISIND,0.3615
2026-08-08 00:00:00,BALRAMCHIN,0.132
2026-08-08 00:00:00,BALUFORGE,0.0961
2026-08-08 00:00:00,BANCOINDIA,0.1523
2026-08-08 00:00:00,BANDHANBNK,0.4316
2026-08-08 00:00:00,BANKBARODA,0.0596
2026-08-08 00:00:00,BANKINDIA,0.0923
2026-08-08 00:00:00,BATAINDIA,0.1052
2026-08-08 00:00:00,BAYERCROP,0.0715
2026-08-08 00:00:00,BBOX,0.2734
2026-08-08 00:00:00,BBTC,0.0411
2026-08-08 00:00:00,BDL,0.0583
2026-08-08 00:00:00,BECTORFOOD,0.3251
2026-08-08 00:00:00,BEL,0.0937
2026-08-08 00:00:00,BELRISE,0.0984
2026-08-08 00:00:00,BEML,0.1236
2026-08-08 00:00:00,BERGEPAINT,0.1497
2026-08-08 00:00:00,BHARATFORG,0.0725
2026-08-08 00:00:00,BHARTIARTL,0.0674
2026-08-08 00:00:00,BHARTIHEXA,0.0845
2026-08-08 00:00:00,BHEL,0.0727
2026-08-08 00:00:00,BIKAJI,0.0472
2026-08-08 00:00:00,BIOCON,0.0686
2026-08-08 00:00:00,BIRLACORPN,0.2023
2026-08-08 00:00:00,BLACKBUCK,0.1276
2026-08-08 00:00:00,BLS,0.1324
2026-08-08 00:00:00,BLUEDART,0.1436
